Proyecto,Alias,Sector,Subsector,Tipo de inversión,Moneda del contrato,Inversión (Millones MXN),Inversión (Millones USD),Alcances del contrato,Participación Banobras/Fonadin,Descripción,Tipo de proyecto,Tipo de contrato,Plazo de contrato,Proceso de selección,Registro de Unidad de Inversiones o equivalente,Anuncio/ Convocatoria,Recepción de propuestas,Fallo,Firma contrato,Inicio de ejecución/construcción,Inicio de operación,Término de la vigencia del contrato,Etapa,Subetapa,Nombre del adjudicatario del contrato,Empresas asociadas al adjudicatario,Estado(s),Entidad responsable,�?rea responsable,Observaciones,URL,Activo,Cantidad,Medida,Calidad,Activo 2,Cantidad 2,Medida 2,Calidad 2,Activo 3,Cantidad 3,Medida 3,Calidad 3,Activo 4,Cantidad 4,Medida 4,Calidad 4,Sostenibilidad,Redes de Alianza
0766 CFE: Gasoducto Tuxpan – Tula,"DISEÑO, CONSTRUCCIÓN, EQUIPAMIENTO, INSTALACIÓN, OPERACIÓN Y MANTENIMIENTO DEL GASODUCTO TUXPAN - TULA EN LOS ESTADOS DE VERACRUZ, PUEBLA E HIDALGO.",Hidrocarburos,Transporte / Almacenamiento / Distribución,Greenfield,Dólares americanos USD,"8,473",458,"Diseño,Construcción,Equipamiento,Instalación,Operación,Mantenimiento",,"El proyecto consiste en el diseño, construcción, equipamiento, instalación, operación y mantenimiento de un gasoducto con capacidad de 886 millones de pies cúbicos diarios (MMPCD). La longitud aproximada del gasoducto es de 283 km y 36 pulgadas de diámetro. El gasoducto Tuxpan - Tula transporta gas natural proveniente del sur de Texas hacia las centrales ubicadas en los estados de Veracruz, Puebla e Hidalgo.",Público / Privado,Prestación de Servicios,25 Años,Licitación Pública Internacional,,27/02/2015,16/10/2015,10/11/2015,26/11/2015,,,2042,Ejecución,,Transportadora de Gas Natural de la Huasteca,TC Energía,"Veracruz,Puebla,Hidalgo",Comisión Federal de Electricidad,Subdirección de Negocios No Regulados,,https://www.proyectosmexico.gob.mx/proyecto_inversion/766-cfe-gasoducto-tuxpan-tula/,Gasoducto,283,km,,,,,,,,,,,,,,Si,Si
0761 CFE: Gasoducto Ramal Tula,"DISEÑO, CONSTRUCCIÓN, OPERACIÓN Y MANTENIMIENTO DEL GASODUCTO RAMAL TULA EN EL ESTADO DE HIDALGO.",Hidrocarburos,Transporte / Almacenamiento / Distribución,Greenfield,Dólares americanos USD,"1,215",66,"Diseño,Construcción,Operación,Mantenimiento",,"El proyecto consiste en el diseño, construcción, operación y mantenimiento de un gasoducto con capacidad de 505 millones de pies cúbicos diarios (MMPCD). La longitud aproximada del gasoducto es de 17 km y 30 pulgadas de diámetro. El ramal a Tula transporta gas natural del sistema Cempoala-Santa Ana a la central de generación de Tula, en el estado de Hidalgo.",Público / Privado,Prestación de Servicios,25 Años,Licitación Pública Internacional,,24/07/2014,23/09/2014,09/10/2014,13/10/2014,13/10/2014,,2041,Ejecución,,CFE Energía,,Hidalgo,Comisión Federal de Electricidad,Subdirección de Negocios No Regulados,,https://www.proyectosmexico.gob.mx/proyecto_inversion/761-cfe-gasoducto-ramal-tula/,Gasoducto,17,km,,,,,,,,,,,,,,Si,Si
0711 CENACE: 3a Subasta Eléctrica de Largo Plazo (SLP-01/2017) Energía Limpia de Amistad IV,"DISEÑO, CONSTRUCCIÓN, EQUIPAMIENTO, INSTALACIÓN, OPERACIÓN Y MANTENIMIENTO DE UNA CENTRAL EÓLICA EN EL ESTADO DE COAHUILA.",Electricidad,Energía Eólica,Greenfield,Pesos mexicanos MXN,"4,454",241,"Diseño,Construcción,Equipamiento,Instalación,Operación,Mantenimiento",,"El proyecto consiste en el diseño, construcción, equipamiento, instalación, operación y mantenimiento de la central eólica Energía Limpia de Amistad IV con una capacidad total de 150 MW en el estado de Coahuila. La central cuenta con las siguientes características: Zona de potencia: Nacional Zona de exportación: Noreste Zona de precio: Río Escondido Zona de interconexión: LOS NOVILLOS-(LNV-230)-230 Enel Rinnovabile a través de la subasta eléctrica de largo plazo de 2017 del CENACE, ganó el siguiente contrato con la central Energía Limpia de Amistad IV: Número de contrato: SLP2017010122-011, relacionado a: - Energía por 510,680 MWHr/Año y Certificados de Energía Limpia (CEL) por 510,680 CEL/Año, con un precio ofertado de MXN$174,134,797 El plazo del contrato para energía es de 15 años y de 20 años para los CEL.",Privado,Asignación,15 Años,Subasta Pública,,08/05/2017,08/11/2017,22/11/2017,13/04/2018,01/01/2019,17/01/2026,2035,Ejecución,,Parque Amistad IV,Enel,Coahuila,Privado,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/711-cenace-subasta-electrica-de-largo-plazo-2017-energia-limpia-de-amistad-iv/,Parque Eólico,162,MW,,,,,,,,,,,,,,,
0704 CENACE: 3a Subasta Eléctrica de Largo Plazo (SLP 1/2017) El Mayo,"DISEÑO, CONSTRUCCIÓN, EQUIPAMIENTO, INSTALACIÓN, OPERACIÓN Y MANTENIMIENTO DE UNA CENTRAL FOTOVOLTAICA, EN EL ESTADO DE SONORA.",Electricidad,Energía Solar,Greenfield,Pesos mexicanos MXN,"1,935",105,"Diseño,Construcción,Equipamiento,Instalación,Operación,Mantenimiento",,"El proyecto consiste en el diseño, construcción, equipamiento, instalación, operación y mantenimiento de la central fotovoltaica El Mayo con una capacidad total de 99 MW en el estado de Sonora. La central cuenta con las siguientes características: Zona de potencia: Nacional Zona de exportación: Noroeste Zona de precio: Obregón Zona de interconexión: EL MAYO-(EMY-115)-115 Canadian Solar Energy México a través de la subasta eléctrica de largo plazo de 2017 del CENACE, ganó el siguiente contrato con la central El Mayo: Número de contrato: SLP2017010102-011, relacionado a: - Energía por 210,426 MWHr/Año y Certificados de Energía Limpia (CEL) por 252,511 CEL/Año, con un precio ofertado de MXN$93,012,977 El plazo del contrato para energía es de 15 años y de 20 años para los CEL.",Privado,Asignación,15 Años,Subasta Pública,,08/05/2017,08/11/2017,22/11/2017,09/04/2018,09/04/2019,31/07/2024,,Ejecución,,Sunmex Renovables,,Sonora,Privado,false,Con base en la resolución Núm. RES/074/2023 la fecha de operación comercial sería el 31 de julio de 2024.,https://www.proyectosmexico.gob.mx/proyecto_inversion/704-cenace-subasta-electrica-de-largo-plazo-2017-el-mayo/,Parque Fotovoltaico,103,MW,,,,,,,,,,,,,,,
"0669 Ronda 3, Licitación 1: Área 35, Cuencas del Sureste","EXPLORACIÓN Y EXTRACCIÓN DE HIDROCARBUROS EN AGUAS SOMERAS DEL GOLFO DE MÉXICO CORRESPONDIENTE A LA RONDA 3, LICITACIÓN 1, ÁREA 35 (CUENCAS DEL SURESTE).",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,399,22,"Exploración,Extracción",,"Contrato de producción compartida CNH-R03-L01-G-CS-04/2018 para la exploración de hidrocarburos en aguas someras, en una área de 798 km2 en la provincia petrolera Cuencas del Sureste para la extracción de aceite extrapesado. Características principales: - Provincia geológica: Pilar Reforma-Akal - Edad(es) del play: Paleoceno, eoceno - Litología(s): Calcarenitas - Tipo de hidrocarburo: Aceite extrapesado - Recursos Prospectivos del Sector Cuenca del Sureste (de las 8 áreas contractuales): P90: 265.3 millones de barriles de petróleo crudo equivalente (MMbpce), P50: 851.3 MMbpce y P10: 2,793.1 MMbpce",Público / Privado,Producción Compartida,30 Años,Licitación Pública Internacional,,29/09/2017,27/03/2018,02/04/2018,27/06/2018,27/06/2018,,27/06/2048,Ejecución,,Shell Exploración y Extracción de México y Pemex Exploración y Producción,"Shell Gas y Dordtsche Petroleum Maatschappij, Empresa Productiva del Estado Mexicano",Aguas Someras del Golfo de México,Secretaría de Energía,,"Resolución CNH.E.15.07/2023. Determinó la conclusión del Procedimiento de Terminación Anticipada por renuncia a la totalidad del Área Contractual, presentada por Shell Exploración y Extracción de México, S.A. de C.V. respecto del Contrato para la Exploración y Extracción de Hidrocarburos bajo la modalidad de producción compartida en aguas someras CNH-R03-L01-G-CS-04/2018. El monto de inversión estimada se refiere a las inversiones aprobadas, que son aquellas que los operadores estiman ejercer en los distintos planes, según corresponda (exploración, evaluación y/o desarrollo). Los contratos de producción compartida para la exploración y extracción de hidrocarburos pueden generar ingresos o no en función de que el operador encuentre recursos comercialmente extraíbles en el área asignada. En caso de que el operador encuentre y extraiga hidrocarburos, éste deberá pagar al Estado el porcentaje de producción que ofertó en la Licitación una vez que haya recuperados sus costos. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. La Cuota Contractual para la Fase Exploratoria. 2. Las Regalías. 3. Utilidad Operativa, el cual comparte un porcentaje con los inversionistas. Es importante aclarar que todo el riesgo de la exploración lo corre el operador, es decir, si el operador asignado no encuentra hidrocarburos económicamente viables para ser extraídos, el Estado mexicano no pagaría nada. Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años.",https://www.proyectosmexico.gob.mx/proyecto_inversion/669-ronda-3-licitacion-1-area-35/,Yacimiento,798,km2,Aceite extrapesado,,,,,,,,,,,,,,Si
"0667 Ronda 3, Licitación 1: Área 33, Cuencas del Sureste","EXPLORACIÓN Y EXTRACCIÓN DE HIDROCARBUROS EN AGUAS SOMERAS DEL GOLFO DE MÉXICO CORRESPONDIENTE A LA RONDA 3, LICITACIÓN 1, ÁREA 33 (CUENCAS DEL SURESTE).",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,"3,209",173,"Exploración,Extracción",,"Contrato de producción compartida CNH-R03-L01-AS-CS-06/2018 para la exploración de hidrocarburos en aguas someras, en una área de 580.9 km2 en la provincia petrolera Cuencas del Sureste para la extracción de aceite superligero. Características Principales: - Provincia geológica: Cuenca Salina - Edad(es) del play: Pre-oxfordiano - Litología(s): Arena grano fino - Tipo de hidrocarburo: Aceite superligero. - Recursos Prospectivos del Sector Cuenca del Sureste (de las 8 áreas contractuales): P90: 265.3 millones de barriles de petróleo crudo equivalente (MMbpce), P50: 851.3 MMbpce y P10: 2,793.1 MMbpce",Público / Privado,Producción Compartida,30 Años,Licitación Pública Internacional,,29/09/2017,27/03/2018,02/04/2018,27/06/2018,27/06/2018,,27/06/2048,Ejecución,,"Pemex Exploración y Producción, TotalEnergies EP México y QatarEnergy E&P México","Empresa Productiva del Estado Mexicano, Total Holdings International y Total Holdings Nederland, QPI Upstream Holdings, y Qatar Petroleum International Limited",Aguas Someras del Golfo de México,Secretaría de Energía,,"El monto de inversión estimada se refiere a las inversiones aprobadas, que son aquellas que los operadores estiman ejercer en los distintos planes, según corresponda (exploración, evaluación y/o desarrollo). Los contratos de producción compartida para la exploración y extracción de hidrocarburos pueden generar ingresos o no en función de que el operador encuentre recursos comercialmente extraíbles en el área asignada. En caso de que el operador encuentre y extraiga hidrocarburos, éste deberá pagar al Estado el porcentaje de producción que ofertó en la Licitación una vez que haya recuperados sus costos. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. La Cuota Contractual para la Fase Exploratoria. 2. Las Regalías. 3. Utilidad Operativa, el cual comparte un porcentaje con los inversionistas. Es importante aclarar que todo el riesgo de la exploración lo corre el operador, es decir, si el operador asignado no encuentra hidrocarburos económicamente viables para ser extraídos, el Estado mexicano no pagaría nada. Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años.",https://www.proyectosmexico.gob.mx/proyecto_inversion/667-ronda-3-licitacion-1-area-33/,Yacimiento,"580,9",km2,Aceite Superligero,,,,,,,,,,,,,,Si
"0665 Ronda 3, Licitación 1: Área 31, Cuencas del Sureste","EXPLORACIÓN Y EXTRACCIÓN DE HIDROCARBUROS EN AGUAS SOMERAS DEL GOLFO DE MÉXICO CORRESPONDIENTE A LA RONDA 3, LICITACIÓN 1, ÁREA 31 (CUENCAS DEL SURESTE).",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,"61,302","3,314","Exploración,Extracción",,"Contrato de producción compartida CNH-R03-L01-AS-CS-15/2018 para la exploración de hidrocarburos en aguas someras, en una área de 401.4 km2 en la provincia petrolera Cuencas del Sureste para la extracción de aceite ligero, aceite pesado y gas húmedo. Características Principales: - Provincia geológica: Cuenca Salina - Edad(es) del play: Cretácico, mioceno tardío, plioceno medio - Litología(s): Arena grano medio y calizas fracturadas - Tipo de hidrocarburo: Aceite ligero, aceite pesado y gas húmedo - Recursos Prospectivos del Sector Cuenca del Sureste (de las 8 áreas contractuales): P90: 265.3 millones de barriles de petróleo crudo equivalente (MMbpce), P50: 851.3 MMbpce y P10: 2,793.1 MMbpce",Público / Privado,Producción Compartida,30 Años,Licitación Pública Internacional,,29/09/2017,27/03/2018,02/04/2018,27/06/2018,27/06/2018,,27/06/2048,Ejecución,,Hokchi Energy y Xaxamani Energy,"Hokchi Ibérica, Baplor, y Pan American Energy, Hokchi Ibérica y Hokchi Energy",Aguas Someras del Golfo de México,Secretaría de Energía,,"El monto de inversión estimada se refiere a las inversiones aprobadas, que son aquellas que los operadores estiman ejercer en los distintos planes, según corresponda (exploración, evaluación y/o desarrollo). Los contratos de producción compartida para la exploración y extracción de hidrocarburos pueden generar ingresos o no en función de que el operador encuentre recursos comercialmente extraíbles en el área asignada. En caso de que el operador encuentre y extraiga hidrocarburos, éste deberá pagar al Estado el porcentaje de producción que ofertó en la Licitación una vez que haya recuperados sus costos. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. La Cuota Contractual para la Fase Exploratoria. 2. Las Regalías. 3. Utilidad Operativa, el cual comparte un porcentaje con los inversionistas. Es importante aclarar que todo el riesgo de la exploración lo corre el operador, es decir, si el operador asignado no encuentra hidrocarburos económicamente viables para ser extraídos, el Estado mexicano no pagaría nada. Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años.",https://www.proyectosmexico.gob.mx/proyecto_inversion/665-ronda-3-licitacion-1-area-31/,Yacimiento,"401,4",km2,Aceite ligero,,,,Aceite pesado,,,,Gas húmedo,,,,,,Si
"0664 Ronda 3, Licitación 1: Área 30, Cuencas del Sureste","EXPLORACIÓN Y EXTRACCIÓN DE HIDROCARBUROS EN AGUAS SOMERAS DEL GOLFO DE MÉXICO CORRESPONDIENTE A LA RONDA 3, LICITACIÓN 1, ÁREA 30 (CUENCAS DEL SURESTE).",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,"5,095",275,"Exploración,Extracción",,"Contrato de producción compartida CNH-R03-L01-AS-CS-14/2018 para la exploración de hidrocarburos en aguas someras, en una área de 527.9 km2 en la provincia petrolera Cuencas del Sureste para la extracción de aceite ligero. Características Principales: - Provincia geológica: Cuenca Salina - Edad(es) del play: Plioceno medio, plioceno temprano - Litología(s): Arena grano medio - Tipo de hidrocarburo: Aceite ligero - Recursos Prospectivos del Sector Cuenca del Sureste (de las 8 áreas contractuales): P90: 265.3 millones de barriles de petróleo crudo equivalente (MMbpce), P50: 851.3 MMbpce y P10: 2,793.1 MMbpce",Público / Privado,Producción Compartida,30 Años,Licitación Pública Internacional,,29/09/2017,27/03/2018,02/04/2018,27/06/2018,27/06/2018,,27/06/2048,Ejecución,,"Wintershall Dea México, Premier Oil Mexico Recursos y SAPURAOMV Block 30","Wintershall Dea International y DEA E&P, Premier Oil Mexico y Premier Oil, Sapura Exploration and Production y Sapura Exploration and Production (México)",Aguas Someras del Golfo de México,Secretaría de Energía,,"El monto de inversión estimada se refiere a las inversiones aprobadas, que son aquellas que los operadores estiman ejercer en los distintos planes, según corresponda (exploración, evaluación y/o desarrollo). Los contratos de producción compartida para la exploración y extracción de hidrocarburos pueden generar ingresos o no en función de que el operador encuentre recursos comercialmente extraíbles en el área asignada. En caso de que el operador encuentre y extraiga hidrocarburos, éste deberá pagar al Estado el porcentaje de producción que ofertó en la Licitación una vez que haya recuperados sus costos. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. La Cuota Contractual para la Fase Exploratoria. 2. Las Regalías. 3. Utilidad Operativa, el cual comparte un porcentaje con los inversionistas. Es importante aclarar que todo el riesgo de la exploración lo corre el operador, es decir, si el operador asignado no encuentra hidrocarburos económicamente viables para ser extraídos, el Estado mexicano no pagaría nada. Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años.",https://www.proyectosmexico.gob.mx/proyecto_inversion/664-ronda-3-licitacion-1-area-30/,Yacimiento,"527,9",km2,Aceite ligero,,,,,,,,,,,,,,Si
"0663 Ronda 3, Licitación 1: Área 29, Cuencas del Sureste","EXPLORACIÓN Y EXTRACCIÓN DE HIDROCARBUROS EN AGUAS SOMERAS DEL GOLFO DE MÉXICO CORRESPONDIENTE A LA RONDA 3, LICITACIÓN 1, ÁREA 29 (CUENCAS DEL SURESTE).",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,"3,461",187,"Exploración,Extracción",,"Contrato de producción compartida CNH-R03-L01-AS-CS-13/2018 para la exploración de hidrocarburos en aguas someras, en un área de 470.6 km2 en la provincia petrolera Cuencas del Sureste para la extracción de aceite ligero. Características Principales: - Provincia geológica: Cuenca Salina - Edad(es) del play: Mioceno medio, mioceno temprano, plioceno-pleistoceno - Litología(s): Arena grano medio - Tipo de hidrocarburo: Aceite ligero - Recursos Prospectivos del Sector Cuenca del Sureste (de las 8 áreas contractuales): P90: 265.3 millones de barriles de petróleo crudo equivalente (MMbpce), P50: 851.3 MMbpce y P10: 2,793.1 MMbpce",Público / Privado,Producción Compartida,30 Años,Licitación Pública Internacional,,29/09/2017,27/03/2018,02/04/2018,27/06/2018,27/06/2018,,27/06/2048,Ejecución,,Pemex Exploración y Producción,Empresa Productiva del Estado Mexicano,Aguas Someras del Golfo de México,Secretaría de Energía,,"El monto de inversión estimada se refiere a las inversiones aprobadas, que son aquellas que los operadores estiman ejercer en los distintos planes, según corresponda (exploración, evaluación y/o desarrollo). Los contratos de producción compartida para la exploración y extracción de hidrocarburos pueden generar ingresos o no en función de que el operador encuentre recursos comercialmente extraíbles en el área asignada. En caso de que el operador encuentre y extraiga hidrocarburos, éste deberá pagar al Estado el porcentaje de producción que ofertó en la Licitación una vez que haya recuperados sus costos. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. La Cuota Contractual para la Fase Exploratoria. 2. Las Regalías. 3. Utilidad Operativa, el cual comparte un porcentaje con los inversionistas. Es importante aclarar que todo el riesgo de la exploración lo corre el operador, es decir, si el operador asignado no encuentra hidrocarburos económicamente viables para ser extraídos, el Estado mexicano no pagaría nada. Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años.",https://www.proyectosmexico.gob.mx/proyecto_inversion/663-ronda-3-licitacion-1-area-29/,Yacimiento,"470,6",km2,Aceite ligero,,,,,,,,,,,,,,Si
"0662 Ronda 3, Licitación 1: Área 28, Cuencas del Sureste","EXPLORACIÓN Y EXTRACCIÓN DE HIDROCARBUROS EN AGUAS SOMERAS DEL GOLFO DE MÉXICO CORRESPONDIENTE A LA RONDA 3, LICITACIÓN 1, ÁREA 28 (CUENCAS DEL SURESTE).",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,"4,620",250,"Exploración,Extracción",,"Contrato de producción compartida CNH-R03-L01-G-CS-01/2018 para la exploración de hidrocarburos en aguas someras, en una área de 807.8 km2 en la provincia petrolera de Cuencas del Sureste para la extracción de aceite ligero. Características Principales: - Provincia geológica: Cuenca Salina - Edad(es) del play: Mioceno, medio, mioceno temprano, plioceno-plesitoceno - Litología(s): Arena grano medio - Tipo de hidrocarburo: Aceite ligero - Recursos Prospectivos del Sector Cuenca del Sureste (de las 8 áreas contractuales): P90: 265.3 millones de barriles de petróleo crudo equivalente (MMbpce), P50: 851.3 MMbpce y P10: 2,793.1 MMbpce",Público / Privado,Producción Compartida,30 Años,Licitación Pública Internacional,,29/09/2017,27/03/2018,02/04/2018,27/06/2018,27/06/2018,,27/06/2048,Ejecución,,Eni México y Lukoil Upstream México,"Eni International y Eni Oil Holdings, Lukoil International Upstream Holding y Lukoil Holding",Aguas Someras del Golfo de México,Secretaría de Energía,,"El 07/03/2024 la CNH inició e instruyó la tramitación del procedimiento de terminación anticipada por devolución de la totalidad del área contractual, presentada por Eni México. El monto de inversión estimada se refiere a las inversiones aprobadas, que son aquellas que los operadores estiman ejercer en los distintos planes, según corresponda (exploración, evaluación y/o desarrollo). Los contratos de producción compartida para la exploración y extracción de hidrocarburos pueden generar ingresos o no en función de que el operador encuentre recursos comercialmente extraíbles en el área asignada. En caso de que el operador encuentre y extraiga hidrocarburos, éste deberá pagar al Estado el porcentaje de producción que ofertó en la Licitación una vez que haya recuperados sus costos. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. La Cuota Contractual para la Fase Exploratoria. 2. Las Regalías. 3. Utilidad Operativa, el cual comparte un porcentaje con los inversionistas. Es importante aclarar que todo el riesgo de la exploración lo corre el operador, es decir, si el operador asignado no encuentra hidrocarburos económicamente viables para ser extraídos, el Estado mexicano no pagaría nada. Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años.",https://www.proyectosmexico.gob.mx/proyecto_inversion/662-ronda-3-licitacion-1-area-28/,Yacimiento,"807,8",km2,Aceite ligero,,,,,,,,,,,,,,Si
"0652 Ronda 3, Licitación 1: Área 18, Tampico-Misantla-Veracruz","EXPLORACIÓN Y EXTRACCIÓN DE HIDROCARBUROS EN AGUAS SOMERAS DEL GOLFO DE MÉXICO CORRESPONDIENTE A LA RONDA 3, LICITACIÓN 1, ÁREA 18 (TAMPICO-MISANTLA-VERACRUZ).",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,306,17,"Exploración,Extracción",,"Contrato de producción compartida CNH-R03-L01-G-TMV-04/2018 para la exploración de hidrocarburos en aguas someras, en una área de 813.3 km2 en la provincia petrolera de Tampico-Misantla-Veracruz para la extracción de aceite ligero. Características Principales: - Provincia geológica: Cuenca Tampico-Misantla - Edad(es) del play: Jurásico tardío-cretácico medio - Litología(s): Calizas boundstone y grainstone de oolitas - Tipo de hidrocarburo: Aceite ligero - Recursos Prospectivos del Sector Tampico-Misantla-Veracruz (de las 13 áreas contractuales): P90: 1,304.9 millones de barriles de petróleo crudo equivalente (MMbpce), P50: 5,479.1 MMbpce y P10: 23,607.4 MMbpce",Público / Privado,Producción Compartida,30 Años,Licitación Pública Internacional,,29/09/2017,27/03/2018,02/04/2018,27/06/2018,27/06/2018,,27/06/2048,Ejecución,,Pemex Exploración y Producción,Empresa Productiva del Estado Mexicano,Aguas Someras del Golfo de México,Secretaría de Energía,,"El monto de inversión estimada se refiere a las inversiones aprobadas, que son aquellas que los operadores estiman ejercer en los distintos planes, según corresponda (exploración, evaluación y/o desarrollo). Los contratos de producción compartida para la exploración y extracción de hidrocarburos pueden generar ingresos o no en función de que el operador encuentre recursos comercialmente extraíbles en el área asignada. En caso de que el operador encuentre y extraiga hidrocarburos, éste deberá pagar al Estado el porcentaje de producción que ofertó en la Licitación una vez que haya recuperados sus costos. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. La Cuota Contractual para la Fase Exploratoria. 2. Las Regalías. 3. Utilidad Operativa, el cual comparte un porcentaje con los inversionistas. Es importante aclarar que todo el riesgo de la exploración lo corre el operador, es decir, si el operador asignado no encuentra hidrocarburos económicamente viables para ser extraídos, el Estado mexicano no pagaría nada. Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años.",https://www.proyectosmexico.gob.mx/proyecto_inversion/652-ronda-3-licitacion-1-area-18/,Yacimiento,"813,3",km2,Aceite ligero,,,,,,,,,,,,,,Si
"0651 Ronda 3, Licitación 1: Área 17, Tampico-Misantla-Veracruz","EXPLORACIÓN Y EXTRACCIÓN DE HIDROCARBUROS EN AGUAS SOMERAS DEL GOLFO DE MÉXICO CORRESPONDIENTE A LA RONDA 3, LICITACIÓN 1, ÁREA 17 (TAMPICO-MISANTLA-VERACRUZ).",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,168,9,"Exploración,Extracción",,"Contrato de producción compartida CNH-R03-L01-G-TMV-03/2018 para la exploración de hidrocarburos en aguas someras, en una área de 842.4 km2 en la provincia petrolera de Tampico-Misantla-Veracruz para la extracción de aceite ligero. Características Principales: - Provincia geológica: Cuenca Tampico-Misantla - Edad(es) del play: Jurásico tardío-cretácico medio - Litología(s): Brechas y grainstone de oolitas - Tipo de hidrocarburo: Aceite ligero - Recursos Prospectivos del Sector Tampico-Misantla-Veracruz (de las 13 áreas contractuales): P90: 1,304.9 millones de barriles de petróleo crudo equivalente (MMbpce), P50: 5,479.1 MMbpce y P10: 23,607.4 MMbpce",Público / Privado,Producción Compartida,30 Años,Licitación Pública Internacional,,29/09/2017,27/03/2018,02/04/2018,27/06/2018,27/06/2018,,27/06/2048,Ejecución,,"Wintershall Dea México, Pemex Exploración y Producción, y Cepsa E.P. México","Wintershall Dea International y DEA E&P, Empresa Productiva del Estado Mexicano, Compañía Española de Petróleos",Aguas Someras del Golfo de México,Secretaría de Energía,,"El 18/06/2024 la CNH inició e instruyó la tramitación del procedimiento de terminación anticipada por devolución de la totalidad del área contractual, presentada por Wintershall Dea México. El monto de inversión estimada se refiere a las inversiones aprobadas, que son aquellas que los operadores estiman ejercer en los distintos planes, según corresponda (exploración, evaluación y/o desarrollo). Los contratos de producción compartida para la exploración y extracción de hidrocarburos pueden generar ingresos o no en función de que el operador encuentre recursos comercialmente extraíbles en el área asignada. En caso de que el operador encuentre y extraiga hidrocarburos, éste deberá pagar al Estado el porcentaje de producción que ofertó en la Licitación una vez que haya recuperados sus costos. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. La Cuota Contractual para la Fase Exploratoria. 2. Las Regalías. 3. Utilidad Operativa, el cual comparte un porcentaje con los inversionistas. Es importante aclarar que todo el riesgo de la exploración lo corre el operador, es decir, si el operador asignado no encuentra hidrocarburos económicamente viables para ser extraídos, el Estado mexicano no pagaría nada. Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años.",https://www.proyectosmexico.gob.mx/proyecto_inversion/651-ronda-3-licitacion-1-area-17/,Yacimiento,"842,4",km2,Aceite ligero,,,,,,,,,,,,,,Si
